TimeStamp: 2018-11-13 08:23:56.732; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:23:58.999; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:23:59.025; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:23:59.026; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-13 08:23:59.040; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-13 08:24:06.633; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-13 08:24:11.663; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 08:27:04.487; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:56.030; Position: 1; 
TimeStamp: 2018-11-13 08:27:43.309; Penalty added; EventId: 8; Driver: Danny; Laps: -1; Penalties: 1; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 08:27:50.677; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 1; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 08:28:53.909; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 1; LapTime: 12:01:02.423; Position: 2; 
TimeStamp: 2018-11-13 08:28:59.292; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 1; LapTime: 12:00:07.420; Position: 1; 
TimeStamp: 2018-11-13 08:29:03.018; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-13 08:29:03.849; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-13 08:29:04.671; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-13 08:29:05.517; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 1; LapTime: 12:00:06.217; Position: 1; 
TimeStamp: 2018-11-13 08:29:06.689; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:02.840; Position: 3; 
TimeStamp: 2018-11-13 08:29:07.604; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-13 08:29:09.210; Lap detected but not added due minimum lap time; EventId: 6; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-13 08:29:10.060; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:03.370; Position: 2; 
TimeStamp: 2018-11-13 08:29:11.000; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:07.981; Position: 4; 
TimeStamp: 2018-11-13 08:29:11.951; Lap added; EventId: 5; Driver: Danny; Laps: 4; Penalties: 1; LapTime: 12:00:06.442; Position: 1; 
TimeStamp: 2018-11-13 08:29:11.952; Finished; EventId: 7; Driver: Danny; Laps: 4; Penalties: 1; LapTime: 12:00:06.442; Position: 1; 
TimeStamp: 2018-11-13 08:29:22.554; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:03:14.880; Position: 3; 
TimeStamp: 2018-11-13 08:29:24.222; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:03:14.880; Position: 3; 
TimeStamp: 2018-11-13 08:29:25.876; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:03.323; Position: 2; 
TimeStamp: 2018-11-13 08:29:28.896; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.019; Position: 2; 
