TimeStamp: 2018-11-14 08:49:27.144; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 08:49:33.667; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 08:49:33.686; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 08:49:33.687; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 08:49:33.820; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 08:49:34.366; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-14 08:49:37.802; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 08:49:38.454; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 08:49:44.194; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-14 08:50:44.701; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-14 08:51:49.120; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:04.244; Position: 1; 
TimeStamp: 2018-11-14 08:51:49.128; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-14 08:52:13.112; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:24.206; Position: 2; 
TimeStamp: 2018-11-14 08:52:16.066; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:24.206; Position: 2; 
TimeStamp: 2018-11-14 08:52:23.335; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:10.225; Position: 1; 
TimeStamp: 2018-11-14 08:52:26.482; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:10.225; Position: 1; 
TimeStamp: 2018-11-14 08:53:34.418; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:01:11.065; Position: 1; 
TimeStamp: 2018-11-14 08:53:38.553; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:01:11.065; Position: 1; 
TimeStamp: 2018-11-14 08:54:12.594; Lap added; EventId: 5; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:38.192; Position: 1; 
TimeStamp: 2018-11-14 08:54:15.339; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:38.192; Position: 1; 
