TimeStamp: 2018-11-15 14:13:56.161; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 14:13:57.619; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 14:13:57.636; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 14:13:57.637; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-15 14:13:57.701; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-15 14:13:59.026; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-15 14:14:01.190; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-15 14:14:10.028; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:08.842; Position: 1; 
TimeStamp: 2018-11-15 14:14:13.428; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-15 14:14:17.420; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-15 14:14:19.845; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:09.826; Position: 1; 
TimeStamp: 2018-11-15 14:14:23.870; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:10.442; Position: 2; 
TimeStamp: 2018-11-15 14:14:27.536; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:07.689; Position: 1; 
TimeStamp: 2018-11-15 14:14:31.343; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:07.467; Position: 2; 
TimeStamp: 2018-11-15 14:14:40.028; Lap added; EventId: 5; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:12.492; Position: 1; 
TimeStamp: 2018-11-15 14:14:40.775; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:09.437; Position: 2; 
TimeStamp: 2018-11-15 14:14:47.076; Lap added; EventId: 5; Driver: Danny; Laps: 5; Penalties: 0; LapTime: 12:00:07.047; Position: 1; 
TimeStamp: 2018-11-15 14:14:47.814; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:07.037; Position: 2; 
TimeStamp: 2018-11-15 14:14:54.092; Lap added; EventId: 5; Driver: Danny; Laps: 6; Penalties: 0; LapTime: 12:00:07.016; Position: 1; 
TimeStamp: 2018-11-15 14:14:54.835; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:07.022; Position: 2; 
TimeStamp: 2018-11-15 14:15:01.124; Lap added; EventId: 5; Driver: Danny; Laps: 7; Penalties: 0; LapTime: 12:00:07.031; Position: 1; 
TimeStamp: 2018-11-15 14:15:01.876; Lap added; EventId: 5; Driver: Andreas; Laps: 6; Penalties: 0; LapTime: 12:00:07.040; Position: 2; 
TimeStamp: 2018-11-15 14:15:08.139; Lap added; EventId: 5; Driver: Danny; Laps: 8; Penalties: 0; LapTime: 12:00:07.013; Position: 1; 
TimeStamp: 2018-11-15 14:15:08.881; Lap added; EventId: 5; Driver: Andreas; Laps: 7; Penalties: 0; LapTime: 12:00:07.005; Position: 2; 
TimeStamp: 2018-11-15 14:15:15.150; Lap added; EventId: 5; Driver: Danny; Laps: 9; Penalties: 0; LapTime: 12:00:07.011; Position: 1; 
TimeStamp: 2018-11-15 14:15:15.901; Lap added; EventId: 5; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:07.019; Position: 2; 
TimeStamp: 2018-11-15 14:15:21.076; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:07.019; Position: 2; 
TimeStamp: 2018-11-15 14:15:40.216; Lap added; EventId: 5; Driver: Danny; Laps: 10; Penalties: 0; LapTime: 12:00:25.065; Position: 1; 
TimeStamp: 2018-11-15 14:15:40.317; Lap added; EventId: 5; Driver: Andreas; Laps: 9; Penalties: 0; LapTime: 12:00:24.416; Position: 2; 
