TimeStamp: 2018-11-15 15:09:26.153; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 15:09:27.104; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 15:09:27.120; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-15 15:09:27.120; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-15 15:09:27.210; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-15 15:09:27.359; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-15 15:09:28.666; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-15 15:09:28.708; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-15 15:09:36.219; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-15 15:09:49.511; Penalty added; EventId: 8; Driver: Andreas; Laps: -1; Penalties: 1; LapTime: ; Position: 1; 
TimeStamp: 2018-11-15 15:09:52.998; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 1; LapTime: ; Position: 1; 
TimeStamp: 2018-11-15 15:09:55.727; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 0; Penalties: 1; LapTime: ; Position: 1; 
TimeStamp: 2018-11-15 15:09:57.757; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 0; Penalties: 1; LapTime: ; Position: 1; 
TimeStamp: 2018-11-15 15:09:59.390; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-15 15:10:06.592; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:07.192; Position: 1; 
TimeStamp: 2018-11-15 15:10:09.502; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-15 15:10:11.294; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-15 15:10:12.238; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-15 15:10:13.935; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-15 15:10:15.822; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-15 15:10:16.254; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-15 15:10:16.606; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:10.024; Position: 1; 
TimeStamp: 2018-11-15 15:10:20.582; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 1; LapTime: 12:00:27.591; Position: 2; 
TimeStamp: 2018-11-15 15:10:20.846; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:10.024; Position: 1; 
TimeStamp: 2018-11-15 15:10:21.103; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:11.599; Position: 3; 
TimeStamp: 2018-11-15 15:10:21.342; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:10.047; Position: 4; 
TimeStamp: 2018-11-15 15:10:21.598; Lap added; EventId: 5; Driver: Tom; Laps: 1; Penalties: 0; LapTime: 12:00:07.663; Position: 5; 
