TimeStamp: 2018-11-21 21:14:49.946; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:14:51.682; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:14:51.698; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:14:51.698; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-21 21:14:51.776; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-21 21:14:51.948; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-21 21:15:12.471; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-21 21:15:12.518; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-21 21:15:19.392; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-21 21:15:20.520; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 21:15:28.349; Lap added; EventId: 5; Driver: Kumpe; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-21 21:15:33.962; Lap added; EventId: 5; Driver: Christoph; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-21 21:15:49.934; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.458; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.490; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.522; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.553; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.584; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.701; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.701; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.701; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:51.732; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 21:15:53.326; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-21 21:15:55.536; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-21 21:15:56.957; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 6; 
TimeStamp: 2018-11-21 21:15:57.955; Lap added; EventId: 5; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.300; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.320; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.350; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.391; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.504; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.504; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.510; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.551; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.580; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.611; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.650; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.680; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.710; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.760; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
