TimeStamp: 2019-01-14 13:01:09.284; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:01:10.603; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:01:10.620; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:01:10.620; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 13:01:10.722; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 13:01:10.898; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2019-01-14 13:01:23.526; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 13:01:23.776; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 13:01:30.626; Race Status: Started; EventId: 1; 
TimeStamp: 2019-01-14 13:01:33.307; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2019-01-14 13:01:34.505; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2019-01-14 13:01:41.450; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2019-01-14 13:01:42.255; Lap added; EventId: 5; Driver: Christoph; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2019-01-14 13:01:42.860; Lap added; EventId: 5; Driver: Kumpe; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2019-01-14 13:01:43.262; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 6; 
TimeStamp: 2019-01-14 13:01:51.245; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:10.470; Position: 1; 
TimeStamp: 2019-01-14 13:01:58.371; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:25.070; Position: 2; 
TimeStamp: 2019-01-14 13:02:03.599; Lap added; EventId: 5; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:22.148; Position: 3; 
TimeStamp: 2019-01-14 13:02:04.605; Lap added; EventId: 5; Driver: Christoph; Laps: 1; Penalties: 0; LapTime: 12:00:22.349; Position: 4; 
TimeStamp: 2019-01-14 13:02:05.508; Lap added; EventId: 5; Driver: Kumpe; Laps: 1; Penalties: 0; LapTime: 12:00:22.649; Position: 5; 
TimeStamp: 2019-01-14 13:02:06.366; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:23.104; Position: 6; 
TimeStamp: 2019-01-14 13:02:08.729; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:10.360; Position: 1; 
TimeStamp: 2019-01-14 13:02:09.934; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:24.959; Position: 2; 
TimeStamp: 2019-01-14 13:02:11.066; Lap added; EventId: 5; Driver: Steg; Laps: 2; Penalties: 0; LapTime: 12:00:07.465; Position: 3; 
