TimeStamp: 2019-01-14 13:11:46.493; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:11:53.436; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:11:53.451; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:11:53.453; Race Status: Started; EventId: 1; 
TimeStamp: 2019-01-14 13:11:53.472; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2019-01-14 13:11:54.759; Race Status: Restarted; EventId: 10; 
TimeStamp: 2019-01-14 13:12:03.017; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2019-01-14 13:12:03.551; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2019-01-14 13:12:06.932; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2019-01-14 13:12:07.640; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2019-01-14 13:12:08.141; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2019-01-14 13:12:08.544; Lap added; EventId: 5; Driver: Christoph; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2019-01-14 13:12:08.947; Lap added; EventId: 5; Driver: Kumpe; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2019-01-14 13:12:09.350; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 6; 
TimeStamp: 2019-01-14 13:12:11.415; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:08.356; Position: 1; 
TimeStamp: 2019-01-14 13:12:12.271; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:08.720; Position: 2; 
TimeStamp: 2019-01-14 13:12:13.078; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2019-01-14 13:12:13.882; Lap added; EventId: 5; Driver: Christoph; Laps: 1; Penalties: 0; LapTime: 12:00:05.336; Position: 3; 
TimeStamp: 2019-01-14 13:12:14.901; Lap added; EventId: 5; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:06.759; Position: 4; 
TimeStamp: 2019-01-14 13:12:15.391; Lap added; EventId: 5; Driver: Kumpe; Laps: 1; Penalties: 0; LapTime: 12:00:06.443; Position: 5; 
TimeStamp: 2019-01-14 13:12:15.860; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:06.510; Position: 6; 
TimeStamp: 2019-01-14 13:12:16.639; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:05.275; Position: 1; 
TimeStamp: 2019-01-14 13:12:17.308; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:05.035; Position: 2; 
TimeStamp: 2019-01-14 13:12:18.917; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:06.759; Position: 4; 
TimeStamp: 2019-01-14 13:12:19.521; Lap added; EventId: 5; Driver: Christoph; Laps: 2; Penalties: 0; LapTime: 12:00:05.639; Position: 3; 
TimeStamp: 2019-01-14 13:12:20.024; Lap detected but not added due minimum lap time; EventId: 6; Driver: Kumpe; Laps: 1; Penalties: 0; LapTime: 12:00:06.443; Position: 5; 
TimeStamp: 2019-01-14 13:12:20.930; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:05.068; Position: 4; 
TimeStamp: 2019-01-14 13:12:21.332; Lap added; EventId: 5; Driver: Kumpe; Laps: 2; Penalties: 0; LapTime: 12:00:05.940; Position: 5; 
