2011-02-18 17:00:38.359; Race Status: Initialized; 
2011-02-18 17:00:38.468; Race Status: WaitingForStartByParallelPort; 
2011-02-18 17:00:42.937; Race Status: Started; 
2011-02-18 17:00:43.312; Lap added; Uwe; Laps: 0; Penalties: 0; Fuel: 99,96; Speed Sum: 6; LapTime: ; 
2011-02-18 17:00:43.375; Lap added; Mannie; Laps: 0; Penalties: 0; Fuel: 99,92; Speed Sum: 12; LapTime: ; 
2011-02-18 17:00:45.046; Lap added; Heinz; Laps: 0; Penalties: 0; Fuel: 98,99; Speed Sum: 125; LapTime: ; 
2011-02-18 17:00:45.968; Lap added by autodetection; Tobi; Laps: 0; Penalties: 0; Fuel: 98,26; Speed Sum: 208; LapTime: ; 
2011-02-18 17:00:52.375; Lap added; Tobi; Laps: 1; Penalties: 0; Fuel: 92,89; Speed Sum: 640; LapTime: ; 
2011-02-18 17:00:54.281; Lap added; Heinz; Laps: 1; Penalties: 0; Fuel: 91,63; Speed Sum: 791; LapTime: 00:09.06; 
2011-02-18 17:00:56.750; Lap added; Mannie; Laps: 1; Penalties: 0; Fuel: 94,04; Speed Sum: 912; LapTime: 00:13.26; 
2011-02-18 17:00:56.750; Lap added; Uwe; Laps: 1; Penalties: 0; Fuel: 94,04; Speed Sum: 918; LapTime: 00:13.78; 
2011-02-18 17:01:02.375; Lap added; Tobi; Laps: 2; Penalties: 0; Fuel: 85,51; Speed Sum: 880; LapTime: 00:10.01; 
2011-02-18 17:01:03.375; Lap added; Heinz; Laps: 2; Penalties: 0; Fuel: 84,44; Speed Sum: 769; LapTime: 00:08.96; 
2011-02-18 17:01:09.796; Lap added; Mannie; Laps: 2; Penalties: 0; Fuel: 88,74; Speed Sum: 822; LapTime: 00:13.03; 
2011-02-18 17:01:10.718; Lap added; Uwe; Laps: 2; Penalties: 0; Fuel: 88,35; Speed Sum: 882; LapTime: 00:13.96; 
2011-02-18 17:01:12.078; Lap added; Heinz; Laps: 3; Penalties: 0; Fuel: 77,09; Speed Sum: 749; LapTime: 00:08.87; 
2011-02-18 17:01:12.609; Lap added; Tobi; Laps: 3; Penalties: 0; Fuel: 78,47; Speed Sum: 840; LapTime: 00:10.12; 
2011-02-18 17:01:22.687; Lap added; Mannie; Laps: 3; Penalties: 0; Fuel: 83,29; Speed Sum: 846; LapTime: 00:13.00; 
2011-02-18 17:01:23.109; Lap added; Tobi; Laps: 4; Penalties: 0; Fuel: 71,03; Speed Sum: 888; LapTime: 00:10.51; 
2011-02-18 17:01:23.968; Lap added; Heinz; Laps: 4; Penalties: 0; Fuel: 69,62; Speed Sum: 781; LapTime: 00:11.95; 
2011-02-18 17:01:25.187; Lap added; Uwe; Laps: 3; Penalties: 0; Fuel: 82,4; Speed Sum: 924; LapTime: 00:14.45; 
2011-02-18 17:01:33.437; Lap added; Heinz; Laps: 5; Penalties: 0; Fuel: 62,47; Speed Sum: 794; LapTime: 00:09.45; 
2011-02-18 17:01:34.406; Lap added; Mannie; Laps: 4; Penalties: 0; Fuel: 78,41; Speed Sum: 756; LapTime: 00:11.64; 
2011-02-18 17:01:34.406; Lap added; Tobi; Laps: 5; Penalties: 0; Fuel: 62,58; Speed Sum: 1008; LapTime: 00:11.32; 
2011-02-18 17:01:39.531; Lap added; Uwe; Laps: 4; Penalties: 0; Fuel: 76,36; Speed Sum: 936; LapTime: 00:14.43; 
2011-02-18 17:01:43.000; Lap added; Heinz; Laps: 6; Penalties: 0; Fuel: 56,01; Speed Sum: 757; LapTime: 00:09.51; 
2011-02-18 17:01:45.843; Lap added; Mannie; Laps: 5; Penalties: 0; Fuel: 73,85; Speed Sum: 708; LapTime: 00:11.42; 
2011-02-18 17:01:46.078; Lap added; Tobi; Laps: 6; Penalties: 0; Fuel: 54,67; Speed Sum: 944; LapTime: 00:11.75; 
2011-02-18 17:01:53.765; Lap added; Uwe; Laps: 5; Penalties: 0; Fuel: 70,6; Speed Sum: 894; LapTime: 00:14.12; 
2011-02-18 17:01:57.359; Lap added; Mannie; Laps: 6; Penalties: 0; Fuel: 68,97; Speed Sum: 756; LapTime: 00:11.51; 
2011-02-18 17:01:57.359; Lap added; Tobi; Laps: 7; Penalties: 0; Fuel: 46,22; Speed Sum: 1008; LapTime: 00:11.29; 
2011-02-18 17:02:00.187; Lap added by autodetection; Heinz; Laps: 7; Penalties: 0; Fuel: 45,24; Speed Sum: 1178; LapTime: ; 
2011-02-18 17:02:04.312; Lap added; Heinz; Laps: 8; Penalties: 0; Fuel: 41,87; Speed Sum: 360; LapTime: ; 
2011-02-18 17:02:08.312; Lap added; Uwe; Laps: 6; Penalties: 0; Fuel: 64,37; Speed Sum: 966; LapTime: 00:14.67; 
2011-02-18 17:02:08.984; Lap added; Mannie; Laps: 7; Penalties: 0; Fuel: 64,17; Speed Sum: 744; LapTime: 00:11.59; 
2011-02-18 17:02:09.109; Lap added; Tobi; Laps: 8; Penalties: 0; Fuel: 37,92; Speed Sum: 991; LapTime: 00:11.75; 
2011-02-18 17:02:12.781; Lap added; Heinz; Laps: 9; Penalties: 0; Fuel: 33,93; Speed Sum: 762; LapTime: 00:08.40; 
2011-02-18 17:02:20.500; Lap added; Mannie; Laps: 8; Penalties: 0; Fuel: 59,14; Speed Sum: 780; LapTime: 00:11.53; 
